id,TAGS (comma separated)
afbb1d9b-f6aa-410c-a0b1-dd48175757f5,"free browsing, travelling workshop, resistance,courage,totalitarianism,daily life,inequality,economy,dictatorship,food,family,politicisation,freedom,fairness,anger"
592dfd00-f7c2-45d3-9a2a-8d28e11b87ff,"free browsing, migration, transition, family, daily life, choice, feelings, memories, belonging"
ccff8ffc-6565-4d35-bd48-f433dfcb649b,"free browsing, migration, transition, culture, family, daily life, choice, feelings, memories, belonging"
b4f0f4bf-215a-4256-b20f-a2c26fa2ab70,"free browsing, memories, childhood, family, system, communism, dictatorship, travel, abroad, feelings, politicisation, propaganda, education"
e03d2370-198c-4998-8ad4-b7d33f47f59e,"free browsing, childhood, family, feelings, society, daily life, joy, abroad, safety, money, economy, memories, solidarity"
2c9dc575-8c57-4ad1-8bcf-91f62e81cacf,"free browsing, transition, migration, belonging, work, feelings, society, culture"
83494449-2ff2-4613-b911-4f1f0db19c6a,"free browsing, dictatorship, communism, system, censorship, daily life, family, resistance, politicisation, freedom, belonging, society, fear, expectations, childhood, youth"
1970ef25-db8c-431f-ad87-be9bcd191001,"free browsing, system, society, politicisation, disappointment, dictatorship, responsibility"
66d4c75c-85ce-44f1-8327-44a508289208,"free browsing, democracy, system, dictatorship, socialism, equality, social security, ideals, society, migration, fairness"
0ea999a1-4e58-405b-9f66-4fec9df6ca24,"free browsing, travelling workshop, system, democracy, capitalism, society, communism, economy, money, social security"
7c2ca0d8-972a-484b-88f8-5b1f835b4e08,"free browsing, travelling workshop, youth, system, participation, education, freedom, abroad"
b7776277-9a61-48e6-88b4-c97dd50b8667,"free browsing, travelling workshop, democracy, freedom, equality, society, participation, social security, fairness"
acfc5f18-fff1-464e-80c7-aa9dd840a55e,"free browsing, resistance, courage, totalitarianism, daily life, inequality, economy, dictatorship, food, family, politicisation, freedom, fairness"
89b93867-70db-45ba-9866-5122e596593e,"free browsing, system, transition, leaders, resistance, courage, inequality, democracy, fairness, participation, choice"
ef4b3bb7-c9a9-44ba-af37-12f55efebc61,"free browsing, education, system, history, propaganda, dictatorship, totalitarianism, childhood, safety, communism"
f5ff8387-a326-43c1-bedd-cf6ece252c0f,"free browsing, family, abroad, propaganda, solidarity, economy, media, daily life, culture"
95d4e1dd-e6fb-4ce6-9b3e-25ead176bc42,"free browsing, leaders, dictatorship, system, equality, economy, expectations, society, social security, communism, minorities, family, history, communism"
57ad71d5-4e3d-4ba5-acfe-a57bc7d8d7e8,"free browsing, abroad, system, dictatorship, system, democracy, freedom, travel, travelling workshop"
4a53d7f3-0fa2-4367-9a3a-20c4d4c290e2,"free browsing,  migration, belonging, work, dictatorship, democracy, safety, choice, studies"
576edfa3-49be-4027-ad73-80e755e0ebb9,"free browsing, democracy, system, elections, equality, minorities"
