English,Catalan,Croatian,Czech,Dutch,Greek,Lithuanian,Polish,Portuguese,Romanian,Spanish
Abroad,Exterior,Inozemstvo,Zahraničí,Buitenland,Εξωτερικό,Užsienis,Zagranica,Estrangeiro,Străinătate,Exterior
Accountability,Responsabilitat,Odgovornost,Věrohodnost,Verantwoording,Απόδοση ευθυνών,Atskaitomybė,Wiarygodność,Responsabilização,Responsabilitate,Responsabilidad
Anger,Ràbia,bijes,Hněv,Woede,Θυμός,Pyktis,Złość,Raiva ,Furie,Rabia
Army,Exèrcit,Vojska,Armáda,Leger,Στρατός,Armija / Kariuomenė,Wojsko,Exército ,Armată,Ejército
Belonging,Pertinença,Pripadnost,Identita,Erbij horen,Ανήκειν,Priklausymas,Przynależność,Pertença,Apartenență,Pertenencia
Capitalism,Capitalisme,Kapitalizam,Kapitalismus,Kapitalisme,Καπιταλισμός,Kapitalizmas,Kapitalizm,Capitalismo,Capitalism,Capitalismo
Censorship,Censura,Cenzura,Cenzura,Censuur,Λογοκρισία,Cenzūra,Cenzura,Censura,Cenzură,Censura
Childhood,Infància,Djetinjstvo,Dětství,Kindertijd,Παιδική ηλικία,Vaikystė,Dzieciństwo,Infância,Copilărie,Infancia
Choice,Elecció,Izbor,Volba,Keuzes,Επιλογή,Pasirinkimas,Wybór,Escolha ,Alegere,Elección
Clientelism,Clientelisme,Klijentelizam,Klientelismus,Cliëntelisme,Πελατειακός χαρακτήρας,Klientelizmas,Klientelizm,Clientelismo,Clientelism,Clientelismo
Colonialism,Colonialisme,Kolonializam,Kolonialismus,Kolonialisme,Αποικιοκρατία,Kolonializmas,Kolonializm,Colonialismo,Colonialism,Colonialismo
Communism,Comunisme,Komunizam,Komunismus,Communisme,Κομμουνισμός,Komunizmas,Komunizm,Comunismo,Comunism,Comunismo
Corruption,Corrupció,Korupcija,Korupce,Corruptie,Διαφθορά,Korupcija,Korupcja,Corrupção,Corupție,Corrupción
Courage,Coratge,Hrabrost,Odvaha,Moed,Κουράγιο,Drąsa,Odwaga,Coragem,Curaj,Coraje
Culture,Cultura,Kultura,Kultura,Cultuur,Πολιτισμός,Kultūra,Kultura,Cultura,Cultură,Cultura
Daily life,Vida quotidiana,Svakodnevni život,Každodennost,Dagelijks leven,Καθημερινή ζωή,Kasdieninis gyvenimas  ,Życie codzienne,Vida quotidiana,Viața de zi cu zi,Vida cotidiana
Democracy,Democràcia,Demokracija,Demokracie,Democratie,Δημοκρατία,Demokratija,Demokracja,Democracia,Democrație,Democracia
Dictatorship,Dictadura,Diktatura,Diktatura,Dictatuur,Δικτατορία,Diktatūra,Dyktatura,Ditadura,Dictatură,Dictadura
Disappointment,Decepció,Razočaranje,Zklamání,,Απογοήτευση,Nusivylimas,Rozczarowanie,Desilusão,Dezamăgire,Decepción
Discrimination,Discriminació,Diskriminacija,Diskriminace,Discriminatie,Διάκριση,Diskriminacija ,Dyskryminacja,Discriminação,Discriminare,Discriminación
Diversity,Diversitat,Raznolikost,Diversita,Diversiteit,Ποικιλία,Įvairovė,Różnorodność,Diversidade ,Diversitate,Diversidad
Dreams,Somnis,Snovi,Sny,Dromen,Όνειρα,Svajonės,Marzenia,Sonhos ,Visuri,Sueños
Economy,Economia,Gospodarstvo,Ekonomika,Economie,Οικονομία,Ekonomika,Ekonomia,Economia,Economie,Economía
Education,Educació,Obrazovanje,Vzdělávání,Onderwijs,Εκπαίδευση,Švietimas,Edukacja,Educação,Educație,Educación
Elections,Eleccions,Izbori,Volby,Verkiezingen,Εκλογές,Rinkimai,Wybory,Eleições ,Alegeri,Elecciones
Equality,Igualtat,Jednakost,Rovnost,Gelijkheid,Ισότητα,Lygybė,Równość,Igualdade ,Egalitate,Igualdad
Expectations,Expectatives,Očekivanja,Očekávání,Verwachtingen,Προσδοκίες,Lūkesčiai,Oczekiwania,Expetativas ,Așteptări,Expectativas
Fairness,Equitat,Pravednost,Spravedlnost,Eerlijkheid,Αμεροληψία,Sąžiningumas,Sprawiedliwość,Equidade ,Corectitudine,Equidad
Family,Família,Obitelj,Rodina,Familie,Οικογένεια,Šeima,Rodzina,Família,Familie,Familia
Fascism,Feixisme,Fašizam,Fašismus,Fascisme,Φασισμός,Fašizmas,Faszyzm,Fascismo ,Fascism,Fascismo
Fear,Por,Strah,Strach,Angst,Φόβος,Baimė,Strach,Medo ,Frică,Miedo
Feelings,Sentiments,Osjećaji,Pocity,Gevoelens,Συναισθήματα,Jausmai,Uczucia,Sentimentos ,Sentimente,Sentimientos
Food,Menjar,Hrana,Jídlo,Voedsel,Τροφή,Maistas ,Jedzenie,Comida,Mâncare,Comida
Free Browsing,Navegació espontània,Slobodno pregledavanje,Svobodné vyhledávání,Vrij surfen,Δωρεάν περιήγηση,Laisvas naršymas,Swobodne przeglądanie,navegação livre ,Descopera,Navegación espontánea
Freedom,Llibertat,Sloboda,Svoboda,Vrijheid,Ελευθερία,Laisvė,Wolność,Liberdade,Libertate,Libertad
Friends,Amics,Prijatelji,Přátelé,Vrienden,Φίλοι,Draugai,Przyjaciele,Amigas/os ,Prieteni,Amigos
Gender,Gènere,Rod,Gender,Gender,Γένος,Lytis,Gender,Género ,Gen,Género
